epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
158,7199.6,0.75768,0.61737,0.91502,0.49529,0.58723,0.55293,0.37634,1.21213,1.40915,1.16037,0.000370581,0.000370581,0.000370581
159,7244.8,0.74578,0.60688,0.90959,0.49111,0.58067,0.5565,0.38196,1.18019,1.43318,1.1367,0.000368043,0.000368043,0.000368043
160,7290.55,0.74575,0.60211,0.91025,0.58502,0.47458,0.53523,0.35672,1.19961,1.46458,1.12943,0.000365506,0.000365506,0.000365506
161,7337.59,0.76689,0.62302,0.92132,0.63366,0.47389,0.54686,0.38117,1.20697,1.41499,1.12633,0.000362968,0.000362968,0.000362968
162,7384.28,0.76274,0.60668,0.91427,0.58518,0.47509,0.54197,0.35758,1.23392,1.48991,1.15278,0.00036043,0.00036043,0.00036043
163,7428.99,0.75226,0.60484,0.90939,0.48884,0.4919,0.52473,0.34683,1.25351,1.56696,1.15194,0.000357893,0.000357893,0.000357893
164,7474.85,0.7179,0.60239,0.91385,0.62824,0.45867,0.54069,0.37695,1.18103,1.536,1.11825,0.000355355,0.000355355,0.000355355
165,7524.05,0.73976,0.6199,0.91244,0.51163,0.56049,0.55229,0.37229,1.20869,1.42651,1.11084,0.000352817,0.000352817,0.000352817
166,7572.14,0.75264,0.59418,0.91423,0.51272,0.5834,0.53979,0.34591,1.23095,1.43687,1.13575,0.00035028,0.00035028,0.00035028
167,7616.77,0.73642,0.59724,0.9051,0.52651,0.58223,0.5471,0.35811,1.20325,1.42002,1.12729,0.000347742,0.000347742,0.000347742
168,7662.91,0.72439,0.58237,0.90312,0.60657,0.50579,0.54827,0.38221,1.19378,1.43032,1.12377,0.000345204,0.000345204,0.000345204
169,7710.07,0.70882,0.5631,0.90234,0.44582,0.57641,0.53668,0.3744,1.20797,1.47023,1.12013,0.000342666,0.000342666,0.000342666
170,7758.07,0.72751,0.59221,0.90273,0.49995,0.56925,0.48054,0.3221,1.20675,1.51628,1.13413,0.000340129,0.000340129,0.000340129
171,7805.85,0.72607,0.59033,0.90438,0.47631,0.59908,0.55922,0.37494,1.20251,1.45785,1.14672,0.000337591,0.000337591,0.000337591
172,7853.08,0.7261,0.58459,0.90503,0.52037,0.55382,0.54605,0.37564,1.22941,1.49704,1.15383,0.000335053,0.000335053,0.000335053
173,7901.09,0.70229,0.55293,0.90363,0.49872,0.56241,0.5572,0.3851,1.19656,1.43416,1.13363,0.000332516,0.000332516,0.000332516
174,7948.8,0.72803,0.58995,0.90877,0.46475,0.56917,0.54246,0.36601,1.201,1.50044,1.14387,0.000329978,0.000329978,0.000329978
175,7995.61,0.72828,0.58891,0.90769,0.65756,0.46458,0.54162,0.35607,1.24143,1.58228,1.16999,0.00032744,0.00032744,0.00032744
176,8042.77,0.73801,0.57159,0.89889,0.48737,0.53648,0.52252,0.34528,1.2487,1.55401,1.18409,0.000324903,0.000324903,0.000324903
177,8089.91,0.72083,0.57423,0.90771,0.57368,0.49449,0.54609,0.35555,1.23731,1.60809,1.16974,0.000322365,0.000322365,0.000322365
178,8137.36,0.72507,0.57825,0.90653,0.46389,0.56701,0.53766,0.36785,1.22816,1.5606,1.16891,0.000319827,0.000319827,0.000319827
179,8184.17,0.71559,0.57215,0.90742,0.48368,0.55181,0.54737,0.38909,1.20851,1.56347,1.16077,0.000317289,0.000317289,0.000317289
